title,detected_names,names_count
Barbara Bursztynowicz oceniła Agnieszkę Kaczorowską! Takiej szczerości nikt się nie spodziewał,"Barbara Bursztynowicz, Agnieszkę Kaczorowską",2
Karolina Gilon wyrzucona z Polsatu! Ibisz podsumował to jednym zdaniem,Karolina Gilon,1
Iwona Pavlović przerywa milczenie. Skomentowała romans Kaczorowskiej i Rogacewicza,Iwona Pavlović,1
Ewa Kasprzyk błaga o pomoc. Co się wydarzyło?!,Ewa Kasprzyk,1
JEST TAKIE JEDNO MIASTO W POLSCE... 🤡,,0
GRZEGORZ DOLNIAK: KOBIETA ZASNĘŁA NA MOIM STAND-UPIE,,0
JAK WYGLĄDAŁ POCZĄTEK KARIERY NATALII PRZYBYSZ? 🤔,,0
KOBIETA W MĘSKIM GRANIU? JAK CZUJE SIĘ Z TYM NATALIA PRZYBYSZ?!,,0
O HISTORII DZIWNEGO PSEUDONIMU ORNETTE!,,0
JAK SIĘ WSPÓŁPRACUJE Z NERGALEM? 👀,,0
CZYM SIĘ RÓŻNI KABARET OD STAND-UPU?! 🤔,,0
