title,detected_names,names_count
"Szok w Polsacie! Urbański zdradza, co zrobią z Milionerami – widzowie przecierają oczy","w Polsacie, ! Urbański, Milionerami –",3
Po latach Edward Miszczak przerwał milczenie. Tak zmarła jego żona,"Po latach Edward, Miszczak przerwał, Tak zmarła jego żona",3
Kaczorowska i Rogacewicz SĄ PARĄ?! Reakcja Agnieszki mówi wszystko!,"Kaczorowska i Rogacewicz, PARĄ?!, Reakcja Agnieszki",3
"Byłyśmy umówione… Małgorzata Walewska o śmierci Joanny Kołaczkowskiej: Myślałam, że wyzdrowieje","Byłyśmy umówione… Małgorzata, Walewska o, Joanny Kołaczkowskiej, Myślałam,",4
Artur Andrus żegna Joannę Kołaczkowską. Spełnił jej nietypową prośbę,"Artur Andrus, Joannę Kołaczkowską, Spełnił jej nietypową",3
"Serialowa Mariolka wspomina ostatnie chwile Marzeny Kipiel-Sztuki. ""Była bardzo skrzywdzona""","Serialowa Mariolka, Marzeny Kipiel, -Sztuki, ""Była",4
Wzruszający widok na grobie Joanny Kołaczkowskiej. Fani zostawiają listy i prezenty,"Wzruszający widok na grobie Joanny, Kołaczkowskiej. Fani",2
Nie wszyscy chcieli z nią grać. Pazura ujawnia kulisy pracy z Kołaczkowską,"Nie wszyscy chcieli z, nią grać. Pazura, kulisy pracy z",3
"Jeszcze nie ruszył „Taniec z Gwiazdami”, a już łamią zasady! Uczestnicy przyłapani!","Jeszcze nie ruszył, „Taniec, Gwiazdami”, , a już, łamią zasady! Uczestnicy",5
"Trudno uwierzyć, że Steczkowska ma 52 lata. Zdradziła swój sekret. Wpływa na zdrowie","Trudno uwierzyć, Steczkowska ma 52 lata. Zdradziła, Wpływa na zdrowie",3
Barbara Bursztynowicz oceniła Agnieszkę Kaczorowską! Takiej szczerości nikt się nie spodziewał,"Barbara Bursztynowicz, Agnieszkę Kaczorowską, ! Takiej",3
Karolina Gilon wyrzucona z Polsatu! Ibisz podsumował to jednym zdaniem,"Karolina Gilon, Polsatu!, Ibisz podsumował to jednym zdaniem",3
Iwona Pavlović przerywa milczenie. Skomentowała romans Kaczorowskiej i Rogacewicza,"Iwona Pavlović, przerywa milczenie. Skomentowała",2
Ewa Kasprzyk błaga o pomoc. Co się wydarzyło?!,"Ewa Kasprzyk, Co się wydarzyło?!",2
JEST TAKIE JEDNO MIASTO W POLSCE... 🤡,"JEST TAKIE, JEDNO MIASTO, W POLSCE",3
GRZEGORZ DOLNIAK: KOBIETA ZASNĘŁA NA MOIM STAND-UPIE,"GRZEGORZ DOLNIAK, KOBIETA ZASNĘŁA NA, MOIM STAND",3
JAK WYGLĄDAŁ POCZĄTEK KARIERY NATALII PRZYBYSZ? 🤔,"JAK WYGLĄDAŁ, KARIERY NATALII, ? 🤔",3
KOBIETA W MĘSKIM GRANIU? JAK CZUJE SIĘ Z TYM NATALIA PRZYBYSZ?!,"KOBIETA W, MĘSKIM GRANIU, JAK CZUJE, SIĘ Z, TYM NATALIA",5
O HISTORII DZIWNEGO PSEUDONIMU ORNETTE!,"O HISTORII, DZIWNEGO PSEUDONIMU",2
JAK SIĘ WSPÓŁPRACUJE Z NERGALEM? 👀,"JAK SIĘ WSPÓŁPRACUJE, NERGALEM? 👀",2
CZYM SIĘ RÓŻNI KABARET OD STAND-UPU?! 🤔,"CZYM SIĘ RÓŻNI, OD STAND, UPU?",3
